page,1,0,0
357,828,100
730,855,100
1125,858,100
844,861,100
220,521,100
208,843,100
322,380,100
940,328,100
570,849,100
1620,542,100
255,725,100
1339,851,100
1486,362,100
439,338,100
1010,860,100
1574,728,100
1239,855,100
215,627,100
463,860,100
748,331,100
585,326,100
1381,329,100
1455,820,100
1576,452,100
1084,324,95
1259,329,95
1630,642,90
112,873,90
843,298,65
288,904,60
844,367,60
227,418,60
1169,369,55
1173,282,55
925,801,50
648,913,45
1558,828,45
653,790,40
65,793,40
927,920,40
664,392,40
670,268,40
384,925,40
1017,392,35
343,928,35
506,263,35
128,779,30
130,572,30
315,480,30
354,283,30
356,728,30
1012,258,30
1586,352,30
517,402,25
1539,634,25
1415,917,25
1071,773,25
174,939,25
52,941,25
437,762,25
1545,609,25
233,944,20
200,943,20
1312,250,20
1179,772,20
530,943,20
509,768,20
153,711,20
1459,263,20
794,773,20
1680,459,20
1709,592,20
607,942,20
1467,720,20
167,436,20
122,541,20
965,770,20
1184,939,20
98,770,20
375,261,20
1129,409,15
1379,753,15
804,416,15
1068,943,15
785,944,15
114,602,15
223,357,15
884,245,15
115,620,15
1477,467,15
139,693,15
803,246,15
401,738,15
463,757,15
475,242,15
1606,823,15
688,764,15
1287,943,15
1674,727,15
1046,413,15
410,434,15
386,730,15
1285,764,15
885,766,15
1218,243,15
418,950,15
887,413,15
550,947,15
488,762,15
630,418,15
396,247,15
314,642,15
1541,874,15
1207,410,15
317,279,15
1046,765,15
417,745,15
814,765,15
1313,408,15
585,948,15
303,577,15
36,822,15
1578,321,15
120,520,15
1480,262,15
1675,437,15
1134,243,15
1158,761,10
1442,247,10
841,761,10
457,237,10
892,951,10
1332,241,10
993,760,10
852,760,10
155,732,10
323,509,10
1717,568,10
414,241,10
121,505,10
640,238,10
434,237,10
687,948,10
1409,430,10
32,925,10
1110,759,10
799,951,10
1364,754,10
1686,715,10
505,952,10
1062,417,10
773,764,10
1457,458,10
625,761,10
788,238,10
1697,477,10
988,239,10
230,339,10
1288,238,10
158,751,10
498,419,10
867,761,10
1715,612,10
147,452,10
1616,360,10
1096,759,10
1515,647,10
770,947,10
447,238,10
113,640,10
1113,415,10
1015,760,10
1520,536,10
347,480,10
352,696,10
533,240,10
699,420,10
1386,942,10
1197,762,10
954,950,10
615,759,10
32,766,10
898,237,10
124,491,10
152,955,10
1148,760,10
1396,935,10
1040,239,10
316,627,10
1625,816,10
132,473,10
309,592,10
538,416,10
1205,950,10
1673,743,10
1451,920,10
698,238,10
127,677,10
570,951,10
1162,951,10
1027,761,10
983,761,10
1083,949,10
829,760,10
1266,758,10
424,238,10
614,422,10
251,953,10
988,416,10
708,238,10
1476,701,10
816,237,10
1440,922,10
1304,945,10
73,955,10
398,445,10
629,236,10
302,282,10
1302,758,10
433,956,10
320,955,10
325,653,10
1327,414,10
1003,760,10
1055,951,10
819,422,10
870,238,10
966,950,10
27,842,5
1531,887,5
676,950,5
590,426,5
1072,419,5
1477,484,5
1641,806,5
1232,236,5
1212,755,5
1425,442,5
202,363,5
550,232,5
147,440,5
702,756,5
516,958,5
29,961,5
1265,953,5
1266,233,5
907,955,5
1433,239,5
313,565,5
1520,897,5
1204,234,5
492,957,5
856,234,5
1339,750,5
215,959,5
426,438,5
1708,493,5
1393,741,5
1609,838,5
1566,298,5
1199,233,5
882,957,5
600,426,5
904,755,5
902,952,5
234,329,5
1224,955,5
1343,422,5
387,456,5
551,424,5
1480,691,5
443,960,5
951,755,5
1257,753,5
1097,955,5
1444,453,5
1229,755,5
1419,439,5
121,662,5
1704,487,5
627,955,5
976,233,5
137,463,5
1240,233,5
760,757,5
1122,233,5
