page,1,0,0
506,227,20
698,398,20
575,429,20
573,384,20
515,411,20
504,203,20
584,367,20
339,256,20
707,601,20
563,469,20
403,556,20
458,424,20
757,564,20
427,325,20
707,447,20
475,362,20
427,591,20
679,479,20
504,614,20
397,428,20
469,258,20
778,572,20
629,369,20
395,216,20
351,329,20
510,453,20
397,506,20
678,542,20
526,225,15
487,235,15
563,364,10
571,450,10
527,210,5
566,354,5
494,249,5
499,246,5
486,220,5
581,460,5
506,247,5
561,449,5
513,246,3
532,210,3
555,450,3
555,371,3
481,221,3
488,251,3
529,240,3
525,240,3
580,455,3
535,212,3
521,241,3
583,467,3
571,351,3
555,374,3
